https://www.pasteur.fr/sites/default/files/veng_0.pdf

    Buckeye 48 d – [z58]
    Budapest 1,4,12,[27] g,t –
    Bukavu 1,40 l,z28 1,5
    Bukuru 6,8 b l,w
    Bulgaria 6,8 y 1,6
    Bullbay 11 l,v e,n,z15
    Bulovka 6,7 z44 –
    Burgas 16 l,v e,n,z15
    Burundi 41 a –
    Bury 4,12,27 c z6
    Businga 6,7 z e,n,z15
    Butantan 3,{10}{15}{15,34} b 1,5
    Butare 52 e,h 1,6
    Buzu [1],6,14,[25] i 1,7
    C
    Caen 16 d l,w [z82]
    Cairina 3,10 z35 z6
    118/166
    Cairns 45 k e,n,z15
    Calabar 1,3,19 e,h l,w
    California 4,12 g,m,t [z67]
    Camberene 35 z10 1,5
    Camberwell 9,12 r 1,7
    Campinense 9,12 r e,n,z15
    Canada 4,12,[27] b 1,6
    Canary 40 l,v 1,6
    Cannobio 28 z4,z23 1,5
    Cannonhill 1,3,{10},{15},19 y e,n,x
    Cannstatt 1,3,19 m,t –
    Canton 54 z10 e,n,x
    Caracas [1],6,14,[25] g,m,s –
    Cardoner 16 g,s,t –
    Carmel 17 l,v e,n,x
    Carnac 18 z10 z6
    Carno 1,3,19 z l,w
    Carpentras 38 z35 e,n,z15
    Carrau 6,14,[24] y 1,7
    Carswell 44 g,z51 –
    Casablanca 45 k 1,7
    Casamance 40 z e,n,x
    Catalunia 28 l,z13,z28 1,5
    Catanzaro 6,14 g,s,t –
    Catumagos 1,3,19 z35 1,5
    Cayar 6,7 z e,n,x
    Cerro 6,14,18 z4,z23 [1,5] [z45],[z82]
    Ceyco 9,46 k z35
    Chagoua 1,13,23 a 1,5
    Chailey 6,8 z4,z23 [e,n,z15]
    Champaign 39 k 1,5 [z48]
    Chandans 11 d [e,n,x] [r]
    Charity [1],6,14,[25] d e,n,x
    Charlottenburg 6,8 k e,n,z15
    Chartres 1,4,12 e,h l,w
    Cheltenham 9,46 b 1,5
    Chennai 4,12 d z35
    Chester 1,4,[5],12 e,h e,n,x
    Chicago 28 r,[i] 1,5
    Chichester 1,3,19 i 1,6
    Chichiri 6,14,24 z4,z24 –
    119/166
    Chile 6,7 z 1,2
    Chincol 6,8 g,m,[s] [e,n,x]
    Chingola 11 e,h 1,2
    Chiredzi 11 c 1,5
    Chittagong 1,3,10,19 b z35
    Choleraesuis 6,7 c 1,5
    Chomedey 8,20 z10 e,n,z15
    Christiansborg 44 z4,z24 –
    Clackamas 4,12 l,v 1,6
    Claibornei 1,9,12 k 1,5
    Clanvillian 11 r e,n,z15
    Clerkenwell 3,10 z l,w
    Cleveland 6,8 z10 1,7
    Clontarf 9,46 k 1,6
    Cochin 9,46 k 1,5
    Cochise 18 b 1,7
    Cocody 8,20 r,i e,n,z15
    Coeln 1,4,[5],12 y 1,2
    Coleypark 6,7,14 a l,w
    Colindale 6,7 r 1,7
    Colobane 11 k 1,7
    Colombo 38 y 1,6
    Colorado 6,7 l,w 1,5
    Concord 6,7 l,v 1,2
    Connecticut 11 l,z13,z28 1,5
    Coogee 42 l,v e,n,z15
    Coquilhatville 3,10 z10 1,7
    Coromandel 6,7 l,v z35
    Corvallis 8,20 z4,z23 [z6]
    Cotham 28 i 1,5
    Cotia 18 – 1,6
    Cotonou 6,7 c z6
    Cremieu 6,8 e,h 1,6 [R1…]
    Crewe 11 z 1,5
    Croft 28 g,m,s [e,n,z15]
    Crossness 67 r 1,2
    Cubana 1,13,23 z29 – [z37],[z43]
    Cuckmere 3,10 i 1,2
    Cullingworth 28 d l,w
    Cumberland 39 i e,n,x
    Curacao 6,8 a 1,6
    120/166
    Cyprus 6,8 i l,w
    Czernyring 54 r 1,5
    D
    Daarle 6,8 y e,n,x
    Dabou 8,20 z4,z23 l,w
    Dadzie 51 l,v e,n,x
    Dahlem 48 k e,n,z15
    Dahomey 47 k 1,6 [z58]
    Dahra 17 b 1,5
    Dakar 28 a 1,6
    Dakota 16 z35 e,n,z15
    Dallgow 1,3,19 z10 e,n,z15
    Damman 6,7,14 a z6
    Dan 51 k e,n,z15
    Dapango 47 r 1,2
    Daula 8,20 z z6
    Daytona 6,7 k 1,6
    Deckstein 9,46 r 1,7
    Delan 39 y e,n,z15
    Delmenhorst 18 z71 –
    Dembe 35 d l,w [z58]
    Demerara 13,23 z10 l,w
    Denver 6,7 a e,n,z15
    Derby 1,4,[5],12 f,g [1,2]
    Derkle 52 e,h 1,7
    Dessau 1,3,15,19 g,s,t –
    Detmold 9,46 a 1,2
    Deversoir 45 c e,n,x
    Dibra 28 a z6
    Dietrichsdorf 39 m,t –
    Dieuppeul 28 i 1,7
    Diguel 1,13,22 d e,n,z15
    Dingiri 17 z 1,6
    121/166
    Diogoye 8,20 z41 z6
    Diourbel 21 i 1,2
    Djakarta 48 z4,z24 –
    Djama 1,42 z29 [1,5]
    Djelfa 8 b 1,2
    Djermaia 28 z29 –
    Djibouti 17 z10 e,n,x
    Djinten 51 m,t –
    Djugu 6,7 z10 e,n,x
    Doba 9,46 a e,n,z15
    Doel 28 z 1,6
    Doncaster 6,8 a 1,5
    Donna 30 l,v 1,5
    Doorn 28 i 1,2
    Dortmund 3,10 z41 1,[2],5
    Douala 28 i l,w
    Dougi 50 y 1,6
    Doulassame 30 a e,n,z15
    Drac 47 l,v e,n,x
    Dresden 28 c e,n,x
    Driffield 1,40 d 1,5
    Drogana 1,4,12,27 r,[i] e,n,z15
    Dublin 1,9,12[Vi] g,p –
    Duesseldorf 6,8 z4,z24 –
    Dugbe 45 d 1,6
    Duisburg 1,4,12,[27] d e,n,z15 [e,h]
    Dumfries 3,10 r,i 1,6
    Dunkwa 6,8 d 1,7
    Durban 1,9,12 a e,n,z15
    Durham 13,23 b e,n,z15
    Duval 1,40 b e,n,z15
    122/166
    E
    Ealing 35 g,m,s –
    Eastbourne 1,9,12 e,h 1,5
    Eastglam 1,3,19 c 1,5
    Eaubonne 18 g,s,t –
    Eberswalde 28 c 1,6
    Eboko 6,8 b 1,7
    Ebrie 35 g,m,t –
    Echa 38 k 1,2
    Ede 43 b e,n,z15
    Edinburg 6,7,14 b 1,5
    Edmonton 6,8 l,v e,n,z15
    Egusi 41 d 1,5
    Egusitoo 1,42 b z6
    Eingedi 6,7 f,g,t 1,2,7
    Eko 4,12 e,h 1,6
    Ekotedo 9,46 z4,z23 –
    Ekpoui 47 z29 –
    Elbeuf 44 b e,n,x
    Elisabethville 3,{10}{15} r 1,7
    Elokate 9,12 c 1,7
    Elomrane 1,9,12 z38 –
    Emek 8,20 g,m,s –
    Emmastad 38 r 1,6
    Encino 1,6,14,25 d l,z13,z28
    Enschede 35 z10 l,w
    Entebbe 1,4,12,27 z z6
    Enteritidis 1,9,12 g,m –
    Enugu 16 l,[z13],z28 [1,5]
    Epalinges 43 l,w [z44]
    Epicrates 3,10 b l,w
    Epinay 11 a l,z13,z28
    Eppendorf 1,4,12,[27] d 1,5
    Erfurt 11 b z6
    Escanaba 6,7 k e,n,z15
    123/166
    Eschberg 9,12 d 1,7
    Eschweiler 6,7 z10 1,6
    Essen 4,12 g,m –
    Essingen 16 l,w z6
    Etterbeek 11 z4,z23 e,n,z15
    Euston 11 r,i e,n,x,z15
    Everleigh 3,10 z29 e,n,x
    Evry 35 i z6
    Ezra 28 z 1,7
    F
    Fairfield 28 r l,w
    Fajara 28 l,z28 e,n,x
    Faji 1,42 a e,n,z15
    Falkensee 3,{10}{15} i e,n,z15
    Fallowfield 3,10 l,z13,z28 e,n,z15
    Fann 11 l,v e,n,x
    Fanti 13,23 z38 –
    Farakan 28 z10 1,5
    Farcha 43 y 1,2
